X,Y,OBJECTID,Name,Address,Demolished,Historic_District,Municipality,MCHSI_ID,Municipal_Code,Site_Number,NR_Listed,County_Determination,NR_Eligibility,GlobalID
504230.1902,494273.5894,373,Bowman Farm,528 Stagecoach Rd.,No,No,Millstone Twp.,40,1332,1332-40,No,No,Not Evaluated,8b3c93ab-f7cc-42d2-9582-e308335a41c2
637858.5483,546099.2574,1404,Bowles Colgate House,12 Beach Rd.,No,No,Monmouth Beach Boro.,1,1333,1333-1,No,Possible,Not Evaluated,110437c5-5e54-4ea7-9a19-7fef8fef4c80
637506.2199,559475.0552,1561,Borrowes-Graham House,25 Ward Ave.,No,No,Rumson Boro.,31,1342,1342-31,No,No,Not Evaluated,e05daf25-0026-4443-a36e-5e0bf8414fe8
545277.1773,515515.9708,521,Bond House,3 Gulley Rd.,No,No,Freehold Twp.,14,1316,1316-14,No,No,Not Evaluated,1ef0b04b-ce5a-4198-974d-15384ea1dc8b
613869.9808,488940.8225,716,Blainsburg School,1701 New Bedford Rd.,No,No,Wall Twp.,23,1352,1352-23,No,No,Identified,772773cf-da64-4c85-abba-ce35f30816ad
631384.3106,558890.9385,1535,Bingham Hall (Bellvue),139 Bingham Ave.,No,No,Rumson Boro.,6,1342,1342-6,No,No,Not Evaluated,cc3174ae-5e5e-4bce-907d-cd0587c98922
548665.6168,523970.8509,543,Bethel A.M.E. Cemetery,Old Monmouth Rd. North of St. Rose of Lima Cemetery,No,No,Freehold Twp.,36,1316,1316-36,No,No,Not Evaluated,857f3341-d3d9-4092-b194-f622ec43fa25
629110.8811,495609.9109,884,Berwick Lodge,601 Ocean Ave.,No,No,Avon-by-the-Sea Boro.,14,1305,1305-14,No,No,Not Evaluated,8059a5a0-25b6-41e2-8b7b-f2b04500f163
631857.663,507363.0695,1046,Berkeley-Carteret Hotel,1401 Ocean Ave.,No,Yes,Asbury Park Boro.,51,1303,1303-51,No,Yes,Identified,9fd600ef-eed3-4aaf-825b-4b0ea17ed0cc
514819.544,520516.4618,330,Bergen House,N.E. cr. State Hwy. 33 and Bergen Mills Rd.,Yes,No,Millstone Twp.,15,1332,1332-15,No,No,Not Evaluated,ceb5b3e8-99a2-475a-b42b-f2defc33af5c
555371.2529,518873.1538,628,Benningon F. Randolph House,57 South St.,No,No,Freehold Boro.,81,1315,1315-81,No,Yes,Not Evaluated,4510e692-aa05-4582-911d-3b6d9b41afa8
637022.5965,542353.7771,1211,Benjamin White House,464 Church St.,No,No,Long Branch City,28,1325,1325-28,No,Yes,Not Evaluated,112d81ce-7373-4271-ba9d-9e66f8dedd03
614731.2582,543365.3059,1364,Benjamin White House,355 Sycamore Ave.,No,Yes,Shrewsbury Boro.,15-Jan,1345,1345-1-15,Yes,No,Listed,5912c435-44b0-49a5-b516-a8d6c7ae2077
635825.8571,525819.9958,1227,Benjamin Watson Leigh House,851 Ocean Ave.,No,No,Long Branch City,45,1325,1325-45,No,No,Not Evaluated,19d33ba6-d7af-42ea-971d-0ffff7a6fc14
531640.0517,533989.5917,353,Benjamin V. Dey House,51 Main St.,No,Yes,Englishtown Boro.,3-Jan,1312,1312-1-3,No,Possible,Not Evaluated,daf882e6-3532-47e7-86a6-fbb70d726aee
575946.2121,531575.3475,1282,Benjamin D. Sickles House,137 Bucks Mill Rd.,No,No,Colts Neck Twp.,7,1309,1309-7,No,No,Not Evaluated,33ba52c6-a6c7-4ce9-9574-505ef0e7bbb4
615422.3687,536452.8811,1162,Benjamin C. White House,44 Broad St.,Yes,No,Eatontown Boro.,4,1311,1311-4,No,No,Not Evaluated,9197b24e-a17f-49e0-9b71-9e9ac4473eb4
624215.4801,490921.6063,851,Belmar Railroad Station,835 Belmar Plz.,No,No,Belmar Boro.,8,1306,1306-8,No,No,Eligible,25d370e6-b74a-4eaf-a223-821622f0f2ab
625293.122,490312.2112,865,Belmar Public Library,517 10th Ave.,No,No,Belmar Boro.,22,1306,1306-22,No,Possible,Identified,c90f431c-200c-4ede-859a-b37ed2e51c46
554897.52,519863.2295,564,Bell Telephone Building,20 Court St.,No,Yes,Freehold Boro.,16,1315,1315-16,No,Possible,Not Evaluated,c7a5d805-573d-4032-a8c5-9e677cab4156
629009.5775,492941.9622,853,Belamr Fishing Club,Ocean Ave. and 1st Ave.,No,No,Belmar Boro.,10,1306,1306-10,No,No,Not Evaluated,b88ef80b-8f20-4054-a041-9d41685788b2
575699.1532,563837.0746,1652,Beers Farm,27 Line Rd.,Yes,No,Holmdel Twp.,23,1318,1318-23,No,No,Not Evaluated,183b9963-6e11-4a67-91b9-c42f9b1176f3
560573.714,504624.9565,643,Bathesda Methodist Church,928 Adelphia-Farmingdale Rd.,No,Yes,Howell Twp.,3-Jan,1319,1319-1-3,No,Possible,Not Evaluated,36ca7111-3a0c-4d28-897f-9a94ac426aee
575016.631,583596.603,137,Barton House,75 Main St.,No,Yes,Keyport Boro.,13-Mar,1322,1322-3-13 ,No,No,Not Evaluated,728ff3d2-97ef-4787-86c4-01d051ab94e2
637368.6434,546993.6103,1418,Barrows House,39 River Rd.,No,No,Monmouth Beach Boro.,15,1333,1333-15,No,Possible,Not Evaluated,8650e9bc-054e-4f85-aa4e-062ffaa7bd46
622142.3884,540264.7698,1260,Barnes Hall,"40.315744, -74.033750",No,Yes,Oceanport Boro.,3-Jan,1338,1338-1-3,No,Possible,Not Evaluated,24f33315-da4a-4926-8a74-7ba5917267cc
586296.6803,546107.8985,1655,Barnes B. Smock House,"40.332209, -74.162188",No,No,Holmdel Twp.,25,1318,1318-25,No,Yes,Not Evaluated,82595e77-2e95-412e-a1bb-df33099b9973
599998.3405,568770.469,1738,Baptist Church Parsonage,59 Kings Hwy.,No,Yes,Middletown Twp.,8-Mar,1331,1331-3-8,Yes,No,Listed,889047c5-fbcd-4a1b-a42e-8826ebda51b1
554731.4645,519315.1,594,B. White Tin Shop,48 West Main St.,No,Possible,Freehold Boro.,48,1315,1315-48,No,Possible,Not Evaluated,0830495c-a63e-4ee6-a301-11a934404453
622533.6367,539010.8756,1264,B. Eldridge House,8 Arcana Ave.,No,Yes,Oceanport Boro.,1-Feb,1338,1338-2-1,No,No,Not Evaluated,c538c7d0-b508-48e2-a25a-0dd6a277204f
626144.1104,494940.6403,885,Avon-by-the-Sea Free Public Library,Garfield Ave. & 5th Ave.,No,No,Avon-by-the-Sea Boro.,15,1305,1305-15,No,No,Not Evaluated,392e2b10-4588-44ad-b533-9b255b6ddb89
625608.2506,483044.293,844,Audenreid Cottage,21 Tuttle Ave.,No,No,Spring Lake Boro.,56,1348,1348-56,Yes,Yes,Listed,24d26b04-78d4-46d6-9686-2e90773b02e3
621727.9657,557844.6552,1521,Atlantic Hotel,121 Fair Haven Rd.,No,Yes,Fair Haven Boro.,13-Jan,1313,1313-1-13,No,No,Not Evaluated,fc206db0-b87b-44bb-954c-8a8fd195ad5b
621086.7718,575225.6329,1598,Atlantic Highlands Presbyterian Church,73 3rd Ave.,No,No,Atlantic Highlands Boro.,9,1304,1304-9,No,No,Not Evaluated,87eb3531-2880-44e0-abdc-a082840a899c
620889.5556,576427.2591,1611,Atlantic Highlands National Bank,33 First Ave.,No,Yes,Atlantic Highlands Boro.,1-Mar,1304,1304-3-1,No,Possible,Not Evaluated,c16d8a82-cd42-494e-861c-c70cddc88fc4
583901.1086,530203.2325,1325,Atlantic Elementary School,20 CR 537 East,No,No,Colts Neck Twp.,48,1309,1309-48,No,No,Not Evaluated,d85cc9f8-9cf8-4065-a9d7-a8c47b70eb24
613319.2942,553735.4193,1505,Atkens Tavern/Union Hotel,11-13 Wharf Ave.,Yes,Yes,Red Bank Boro.,10-Jan,1340,1340-1-10,No,No,Not Evaluated,b086857d-cf1a-48ba-8096-3297f4e6689a
493062.3769,477227.8716,491,Ashton House,72 Emlay's Hill Rd.,No,No,Upper Freehold Twp.,67,1351,1351-67,No,Possible,Not Evaluated,83e2f3ba-d75b-4fb3-b889-4674ec8211fb
627594.4349,499018.0724,896,Ascension Roman Catholic Church,501 Brinley Ave.,No,No,Bradley Beach Boro.,3,1307,1307-3,No,No,Not Evaluated,86e84a97-6971-485c-bf49-87ac59f44688
631364.5829,504617.9825,1062,Asbury-Park Casino and Carousel,Lake Ave. at Atlantic Ocean,No,No,Asbury Park Boro.,21,1303,1303-21,No,Yes,Eligible,87b08338-7d87-4e54-aa15-3db1e4ca5cc6
628784.4582,504082.2522,1024,Asbury Park Press Building,605 Mattison Ave.,No,Yes,Asbury Park Boro.,28,1303,1303-28,No,Possible,Not Evaluated,f813d403-1d41-468c-980e-3dd9a4e46a2e
628053.6955,504600.2328,1003,Asbury Park Post Office,801 Bangs Ave. ,No,Yes,Asbury Park Boro.,5,1303,1303-5,No,Yes,Eligible,e6afda7b-5351-43dd-9fcd-970af2866f37
615321.6544,498872.0848,913,Asbury Park Golf Course Clubhouse,"40.202244, -74.058613",Yes,No,Neptune Twp.,4,1334,1334-4,No,No,Identified,3e99af27-5d3f-4180-95fb-5e0fc072298c
632044.8145,506864.3195,1029,Asbury Park Convention Hall,Ocean Ave. between 5th and Sunset,No,No,Asbury Park Boro.,33,1303,1303-33,Yes,Yes,Listed,cebf7426-e1f3-4472-a048-7aad7d9d4571
629660.313,505545.2388,1011,Asbury Park & Ocean Grove Library,500 1st Ave.,No,Yes,Asbury Park Boro.,14,1303,1303-14,No,Possible,Not Evaluated,ad9a27e6-1e9e-4df2-bb3a-d60cb0e04352
628190.1004,504337.1405,1022,Asbury Park & Ocean Grove Bank,308 Main St.,No,Yes,Asbury Park Boro.,26,1303,1303-26,No,No,Not Evaluated,de256407-04d8-4fb5-af55-9c0fe2e5eaed
637240.8097,542155.3628,1244,Asbury Methodist Episcopal Church,61 Atlantic Ave.,No,No,Long Branch City,61,1325,1325-61,No,No,Not Evaluated,4296ffff-ee9c-460a-a307-f8c6a9d52e35
603023.2334,536340.2901,1127,Arthur Wilson House,771 Tinton Ave.,No,Yes,Tinton Falls Boro.,6-Jan,1336,1336-1-6,Yes,No,Listed,34288219-9013-4f7c-8b3e-538b029ff696
581032.159,487725.3181,671,Ardena Public School No. 2,NW cr. Old Tavern & Preventorium Rd,No,No,Howell Twp.,25,1319,1319-25,No,No,Not Evaluated,299afef9-bb9d-48c4-b19e-2b0543eb0ac5
477730.5067,465023.6171,452,Anthony Woodward House,20 Hill Rd.,No,No,Upper Freehold Twp.,27,1351,1351-27,No,No,Not Evaluated,5b75b783-ea7b-4713-bc52-4c24acf92a7d
471861.7481,468907.4522,489,Anthony Woodward House,637 Province Line Rd.,Yes,No,Upper Freehold Twp.,64,1351,1351-64,No,No,Not Evaluated,de416665-1a85-48b5-9130-baf76eabd156
613273.044,551446.0712,1438,Anthony Reckless Estate,164 Broad St.,No,No,Red Bank Boro.,7,1340,1340-7,Yes,Yes,Listed,dc9171f5-cb3c-48b0-b469-cf041cffa4a2
631573.2347,559182.3822,1546,Anna Maria Parmly House,65 Ridge Rd.,No,No,Rumson Boro.,16,1342,1342-16,No,Yes,Not Evaluated,8a09436b-2a8a-4b39-95dd-c336d021a2ac
614314.097,559726.5451,1800,Andrew Varick Stout House,500 Navesink River Rd.,No,No,Middletown Twp.,78,1331,1331-78,No,Possible,Not Evaluated,976bbd8a-6869-4cf2-8a08-2df416ff3586
628903.619,510019.2902,957,Andrew J. Dam House,101 Grassmere Ave.,No,Yes,Interlaken Boro.,6,1320,1320-6,No,No,Not Evaluated,e2eac684-02d4-4266-95a4-3bebfe97276c
555348.2779,518814.9055,629,Amos Haviland House,59 South St.,No,No,Freehold Boro.,82,1315,1315-82,No,Possible,Not Evaluated,208b925b-8c0e-4826-b790-472656b16a91
624186.5189,491428.9892,845,American Legion Post 151,800 River Rd.,No,No,Belmar Boro.,1,1306,1306-1,No,No,Not Evaluated,906971fa-f7f6-4a75-b740-e864819bbeea
555391.9153,519850.6669,583,American Hotel,18-20 East Main St.,No,Possible,Freehold Boro.,36,1315,1315-36,No,Yes,Not Evaluated,e48b927a-4070-47ad-8efd-7925d6d7f3a4
613921.2248,489027.0494,709,Allgor-Barkalow Homestead,1701 New Bedford Rd.,No,No,Wall Twp.,15,1352,1352-15,Yes,Yes,Listed,b90d1b22-4aef-4da9-a51e-ff4865b49e81
615830.9345,486429.7465,705,Allgor House,1614 18th Ave.,No,No,Wall Twp.,12,1352,1352-12,No,No,Not Evaluated,a4cb9019-ca57-484d-89a4-96e7594e5d42
595990.0339,475014.6424,721,Allenwood Sanitorium Hospital,2350 Hospital Rd.,No,No,Wall Twp.,28,1352,1352-28,No,Possible,Not Evaluated,a2a289b8-84b4-423c-9421-8a35e78e0b3b
603611.538,476953.6247,698,Allenwood General Store,3208 Allenwood Lakewood Rd.,No,No,Wall Twp.,5,1352,1352-5,No,No,Not Evaluated,78f5c183-48e0-4cf5-b6cf-51a4af70a34d
604066.5119,476789.5713,701,Allenwood Blacksmith Shop,3121 Atlantic Ave.,No,No,Wall Twp.,8,1352,1352-8,No,No,Not Evaluated,dc5b7fe5-2b7c-4945-9235-f97317e69306
629878.3749,511835.4001,942,Allenhurst Railroad Station,200 Main St.,Yes,No,Allenhurst Boro.,20,1301,1301-20,Yes,No,Listed,18b6394b-db43-4afe-b558-cb8c66f1adbb
629766.032,510438.9505,940,Allenhurst Light and Water Station,318 Hume St.,Partial,No,Allenhurst Boro.,18,1301,1301-18,No,No,Not Evaluated,4a0a6fe8-b39f-41ed-ace7-163002b6fe16
629903.1849,510416.381,939,Allenhurst Fire Department,318 Hume St.,Yes,No,Allenhurst Boro.,17,1301,1301-17,No,No,Not Evaluated,745374fb-7dde-40b7-9b91-fd5b7d52271b
614315.3631,543264.2346,1357,Allen House,400 Sycamore Ave.,No,Yes,Shrewsbury Boro.,8-Jan,1345,1345-1-8,Yes,Yes,Listed,9596190b-d15f-4069-91cb-a96b0d0200b0
612902.4991,552645.5557,1477,Allen House,30 Monmouth St.,No,No,Red Bank Boro.,32,1340,1340-32,No,Yes,Not Evaluated,03963875-ce9b-4fa7-8ea7-f5a289692345
625652.8742,570382.4494,1793,All Saints Memorial Church,202 Navesink Ave.,No,No,Middletown Twp.,74,1331,1331-74,Yes,Yes,Landmark,ae4c6556-5709-4a4a-9278-f5cdb5a37c4b
553100.0925,517778.8032,615,Alfred Walters House,124 West Main St.,No,Possible,Freehold Boro.,69,1315,1315-69,No,Possible,Not Evaluated,4efb17b5-2c2d-4d6c-b566-69fee28e3a04
625574.0427,568779.1963,1833,Albert and Louisa Randall House,239 Locust Ave.,Yes,No,Middletown Twp.,111,1331,1331-111,No,No,Not Evaluated,9a2a37cd-8c59-486c-b2c3-642116f9996b
553425.4507,520955.2565,573,African M.E. Church,11 Haley St.,No,No,Freehold Boro.,25,1315,1315-25,No,No,Not Evaluated,372c31a2-1df8-464e-8749-7b0b78178a9f
553149.9195,520834.7551,640,African Baptist Church,135 Throckmorton St.,No,No,Freehold Boro.,93,1315,1315-93,No,No,Not Evaluated,cc6f522c-b036-4410-badd-6a1f7816106e
503482.1071,512411.397,327,Addison Mount Farm,4 Mount Dr.,No,No,Millstone Twp.,11,1332,1332-11,No,No,Not Evaluated,20605732-7de1-49ac-a8d4-1de344412be7
578557.7348,571946.4712,1633,Ackerson Farm,754 Holmdel Rd.,Yes,No,Holmdel Twp.,12,1318,1318-12,No,No,Not Evaluated,f0dc0132-767e-4ab9-b95f-11e2c81078a3
614231.1949,542600.5443,1353,Abram Holmes Borden House,912 Broad St.,No,Yes,Shrewsbury Boro.,4-Jan,1345,1345-1-4,Yes,No,Listed,c9fcfe46-e0c1-4a5d-9aec-32837587442f
472401.618,471944.3536,445,Abraham Tilton Jr. House,98 Hill Rd.,No,Possible,Upper Freehold Twp.,20,1351,1351-20,No,Yes,Not Evaluated,f84b9d18-4c8f-4437-a91a-c8018d6490a2
587979.6733,556074.6666,1663,Abraham Antonides Farm,82 Middletown Road,Yes,No,Holmdel Twp.,33,1318,1318-33,No,No,Not Evaluated,bc01862f-6321-458d-bee1-562e0b049dff
588337.7451,545053.5581,1653,Aaron S. Van Mater House,"40.329291, -74.154868",No,No,Holmdel Twp.,24,1318,1318-24,No,Possible,Not Evaluated,9e2ab1ad-423c-4eb4-87dc-5dc2e32b385c
554520.819,520227.2957,551,Aaron Rhea Throckmorton House,1 Broad St.,No,No,Freehold Boro.,3,1315,1315-3,No,Yes,Not Evaluated,f50fba3c-4843-4b79-84c5-c1e838434dff
567773.8741,576917.5826,238,Aaron Hopkins House,91 Main St.,No,Yes,Matawan Boro.,12-Jan,1329,1329-1-12,No,No,Not Evaluated,c4a37fbb-2672-4aee-b797-f90af6f4ae80
583026.4424,560702.4891,1672,Aaron & John Longstreet House,25 Roberts Rd.,No,No,Holmdel Twp.,42,1318,1318-42,No,Yes,Not Evaluated,4ff017ca-dce0-4fe4-b9bd-f6d044507327
625225.4184,479423.3344,818,A.S. Logan House,901 Ocean Ave.,Yes,No,Spring Lake Boro.,30,1348,1348-30,No,No,Not Evaluated,ae0f19d9-fe81-4dd7-a09d-30a5d984333d
555833.4955,520539.4047,560,A.S. Lockerson House,7 Broadway,No,No,Freehold Boro.,12,1315,1315-12,No,No,Not Evaluated,17de23d5-e5a8-45e4-8487-eeffe52d45f2
575141.4962,584461.0131,96,A. Walling's Insurance Office,6 East Front St.,No,Yes,Keyport Boro.,9-Feb,1322,1322-2-9,No,No,Not Evaluated,c538f3ff-b379-4cd7-aa80-c96ffe8e80ce
574805.0284,583702.2213,159,A. Salz House,56 Main St.,No,Yes,Keyport Boro.,Mar-35,1322,1322-3-35,No,No,Not Evaluated,4ae23e3d-1ae7-4667-8efc-2aa7bf977e97
615215.2399,492945.6029,708,2201 Marconi Rd.,2201 Marconi Rd.,No,Yes,Wall Twp.,14,1352,1352-14,Yes,Yes,Landmark,a6e9221e-b35f-4996-8738-0bd97c48e29f
616756.3776,469502.7174,771,1st Presbyterian Church of Manasquan,86 South St.,No,No,Manasquan Boro.,14,1327,1327-14,No,No,Not Evaluated,59149c41-3efb-459f-9f21-651a9f5f1110
627784.8955,488661.0016,854,13th Ave. Pavilion,Ocean Ave. and 13th Ave.,Yes,No,Belmar Boro.,11,1306,1306-11,No,No,Not Evaluated,8b7df201-fdf5-461b-9d20-75b5e86c88a8
637503.8137,544004.0707,1429, Oliver Byron House,24 Valentine St.,No,No,Monmouth Beach Boro.,24,1333,1333-24,No,Yes,Not Evaluated,64dc341b-5cd1-473d-89a5-5e1ada8b0476
618307.1602,469777.6401,751, Masonic Temple,168 Main St.,No,No,Manasquan Boro.,7,1327,1327-7,No,No,Not Evaluated,6ba00663-9654-417c-ab03-045fa7f60eab
615877.1126,465666.1657,734, Longstreet House ,532 Union Ln.,No,No,Brielle Boro.,13,1308,1308-13,No,No,Not Evaluated,141ce406-4090-4d03-ace1-1c933800271f
567829.4298,577072.9645,235, L. Carton House,83 Main St.,No,Yes,Matawan Boro.,9-Jan,1329,1329-1-9,No,No,Not Evaluated,356cfb59-6565-4ef4-81a4-88a0e321cf86
565132.5057,582920.8278,1, ,193 Cliffwood Ave.,No,No,Aberdeen Twp.,5,1330,1330-5,No,No,Not Evaluated,8cdfde92-7d30-4fc2-944b-061c3f256784
570461.4521,584679.8624,3, ,686 Prospect Ave.,No,No,Aberdeen Twp.,9,1330,1330-9,No,No,Not Evaluated,2f821641-4e23-42df-9363-d3824a9f77ce
569271.4663,577310.3942,4, ,59 Atlantic Ave.,No,No,Aberdeen Twp.,1,1330,1330-1,No,No,Not Evaluated,91d8388f-8eb1-43d5-a203-6a0d24417ace
569120.4584,576616.8673,5, ,93 Atlantic Ave.,Yes,No,Aberdeen Twp.,2,1330,1330-2,No,No,Not Evaluated,7e39ecb2-56ca-4d4c-bdb1-83547b9082fd
563924.7887,572143.1358,6, ,207 Spring Lawn St.,No,No,Aberdeen Twp.,10,1330,1330-10,No,No,Not Evaluated,2088c4d0-993e-4281-a753-4039ac10e4dd
560615.5758,569179.4567,7, ,194 Wilson Ave.,Yes,No,Aberdeen Twp.,6,1330,1330-6,No,No,Not Evaluated,b5f86064-ceb7-4032-abc2-d9d8799f6ae8
570984.9796,565549.9196,8, ,1320 Hwy. 34,No,No,Aberdeen Twp.,12,1330,1330-12,No,Possible,Not Evaluated,cc705650-8a3c-4192-914b-ce8b9e5f59ef
571464.3927,565366.4108,9, ,518 Hwy. 34,Yes,No,Aberdeen Twp.,11,1330,1330-11,No,No,Not Evaluated,d0893b22-3807-4137-955e-59c71d60b878
567354.4987,567168.8104,11, ,156 Lloyd Rd.,Yes,No,Aberdeen Twp. ,7,1330,1330-7,No,No,Not Evaluated,6ec6f600-b179-456d-ba4a-23775f54339f
563170.2711,573010.0848,12, ,48 New Brunswick Ave.,Yes,No,Aberdeen Twp.,8,1330,1330-8,No,No,Not Evaluated,6a7a2b7c-90af-456d-a50d-1b2e03df9e6a
